"term","definition","user_name","source","creation_date"
"AAH","Allocation pour l'Adulte atteint de Handicap","jerome","glossbot-betagouv","2016-11-15 07:58:58.75704"
"AAI","Autorité Administrative Indépendante","vince","glossbot-betagouv","2017-02-15 16:28:32.073162"
"AAPC","'Avis d'Appel Public à la Concurrence'","nicolas","glossbot-betagouv","2017-03-07 13:42:26.961713"
"ACOSS","Agence Centrale des Organismes de Sécurité Sociale","vince","glossbot-betagouv","2016-11-18 09:09:39.672177"
"AE","Autorisation d'Engagement","vince","glossbot-betagouv","2016-10-10 12:30:28.13979"
"AFAFAF","Associations Foncières d’Aménagement Foncier Agricole et Forestier","vince","glossbot-betagouv","2017-01-12 20:01:26.455889"
"AFAIK","As Far As I Know","vince","glossbot-betagouv","2016-07-13 17:01:32.861004"
"AFAQ","association française de l’assurance qualité","mattisg","glossbot-betagouv","2016-06-24 17:12:04.66796"
"AGD","Administrateur Général des Données - Équipe de datascientists de la DINSIC qui travaille avec les données (ouvertes ou fermées) de l'administration.","mattisg","glossbot-betagouv","2016-06-15 17:06:30.496113"
"agefiph","Association de gestion du fonds pour l'insertion des personnes handicapées","alexis","glossbot-betagouv","2017-03-15 15:40:27.050555"
"ALUR","loi pour l'Accès au Logement et un Urbanisme Rénové; visant à faciliter la régulation des marchés immobiliers et encadrer les pratiques abusives; favoriser l’accès au logement des ménages et développer l’innovation et la transparence","sycom","git","2017-05-11 12:45:00.000000"
"AMOA","Assistance à la maîtrise d’ouvrage (cf. http://bit.ly/amoa1234)","maukoquiroga","glossbot-betagouv","2016-07-20 09:56:32.992356"
"ANAH","Agence nationale de l'habitat","colin","glossbot-betagouv","2017-01-11 15:02:35.126666"
"ANN","Agence Nationale du Numérique","mattisg","glossbot-betagouv","2016-09-28 10:44:02.32576"
"ANSA","Agence Nouvelle des Solidarités Actives","mattisg","glossbot-betagouv","2016-09-28 10:44:18.410634"
"APB","‘Admission Post Bac'","nicolas","glossbot-betagouv","2017-02-24 10:10:58.534065"
"APE","Agences pôle emploi","maukoquiroga","glossbot-betagouv","2016-06-16 10:19:35.1151"
"APEC","Association pour l'emploi des cadres","maukoquiroga","glossbot-betagouv","2016-06-16 10:04:00.196707"
"APPI","Application des Peines Probation Insertion (logiciel informatique - France)","mattisg","glossbot-betagouv","2016-06-24 17:12:12.559993"
"ASA","Associations Syndicales Autorisées","vince","glossbot-betagouv","2017-01-12 20:02:14.649125"
"ATMO","indice permettant d'évaluer la qualité de l'air dans les zones habitées par au moins 100 000 personnes ; son échelle varie de 1 (air très sain) à 10 (très forte pollution atmosphérique)","sycom","git","2017-05-11 12:45:00.000000"
"BAIP","Bureau d'aide à l'insertion professionnelle","maukoquiroga","glossbot-betagouv","2016-06-16 10:10:48.583315"
"bgv","beta.gouv.fr","gnovel","glossbot-betagouv","2017-04-19 15:13:18.994833"
"BIJ","Bureaux d’information jeunesse","maukoquiroga","glossbot-betagouv","2016-06-16 10:13:32.682149"
"BOAMP","Bulletin Officiel des Annonces de Marchés Publics","jerome","glossbot-betagouv","2017-01-17 15:04:50.691403"
"cab","CABinet - Groupe de conseillers d'un ministre, nommés par ce ministre.","mattisg","glossbot-betagouv","2016-06-15 17:07:00.528538"
"CAO","Commission Appel d'Offres (marchés publics)","colin","glossbot-betagouv","2016-10-25 16:55:24.023465"
"CDN","Content Delivery Network","vince","glossbot-betagouv","2016-06-21 14:27:11.540191"
"CEDH","Convention européenne de sauvegarde des droits de l’homme et des libertés ou Cour européenne des droits de l’homme","mattisg","glossbot-betagouv","2016-06-24 17:12:33.66191"
"CEP","Conseil en évolution professionnelle","maukoquiroga","glossbot-betagouv","2016-06-16 10:19:09.133957"
"CEREMA","Centre d'Étude et d'expertise sur les Risques, l'environnement, la Mobilité et l'Aménagement","cquest","git","2017-05-23 14:35:00"
"CGET","Commissariat général à l'égalité des territoires","hela","glossbot-betagouv","2016-10-25 10:01:08.710485"
"CGET","Commissariat Général à l'Égalité des Territoires","mattisg","glossbot-betagouv","2016-10-25 10:03:34.01144"
"CIF","Congé individuel de formation","maukoquiroga","glossbot-betagouv","2016-06-16 10:25:33.088168"
"CIO","Centres d'information et d'orientation","maukoquiroga","glossbot-betagouv","2016-06-16 10:10:00.640802"
"CIP","Conseiller en insertion professionnelle","maukoquiroga","glossbot-betagouv","2016-06-16 10:20:38.283639"
"CNAV","Caisse nationale d'assurance vieillesse","maukoquiroga","glossbot-betagouv","2016-06-20 14:27:23.191223"
"CNCDH","commission nationale consultative des droits de l’homme","mattisg","glossbot-betagouv","2016-06-24 17:12:48.145906"
"CNEE","Conseil National Éducation Économie","nicolas","glossbot-betagouv","2016-08-03 14:19:30.751115"
"CNOUS","Centre national des œuvres universitaires et scolaires - La version nationale des CROUS, qui gère les bourses, les logements universitaires…","mattisg","glossbot-betagouv","2016-11-15 08:45:59.055799"
"CNSA","Caisse nationale de solidarité pour l'autonomie","maukoquiroga","glossbot-betagouv","2016-06-20 14:26:45.996307"
"CODIR","COmité de DIRection - Réunion des moyen chefs.","mattisg","glossbot-betagouv","2016-06-15 17:07:04.709076"
"COMEX","COMité EXécutif - Réunion des grands chefs (C-level).","mattisg","glossbot-betagouv","2016-06-15 17:07:07.795065"
"COPIL","COmité de PILotage - Réunion des personnes impliquées dans la direction d'un projet.","mattisg","glossbot-betagouv","2016-06-15 17:07:10.663406"
"CP","Crédits de Paiement","vince","glossbot-betagouv","2016-10-10 12:29:57.268588"
"CPA","1. Compte personnel d’activité ; 2. Cessation progressive d’activité","maukoquiroga","glossbot-betagouv","2016-07-20 09:45:27.123077"
"CPF","Compte personnel de formation","maukoquiroga","glossbot-betagouv","2016-06-16 10:26:58.15833"
"CRAH","Compte-Rendu d'Activité Hebdomadaire","mattisg","glossbot-betagouv","2016-06-15 17:07:14.332041"
"CRAMIF","Caisse régionale d'assurance maladie d’Île de France","fpagnoux","glossbot-betagouv","2016-09-08 09:08:46.93596"
"CRIJ","Centre régional information jeunesse","maukoquiroga","glossbot-betagouv","2016-06-16 10:15:04.468237"
"CSM","conseil supérieur de la magistrature","mattisg","glossbot-betagouv","2016-06-24 17:13:04.958846"
"CUIO","Centres universitaires d'information et d'orientation","maukoquiroga","glossbot-betagouv","2016-06-16 10:32:24.212638"
"DAC","Directeur d'Administration Centrale - Personne ayant délégation de signature pouvant engager l'État. Moins de 200 en France.","mattisg","glossbot-betagouv","2016-06-15 17:07:17.935337"
"DAEI","Délégation aux Affaires Européennes et Internationales","cquest","git","2017-05-23 14:35:00"
"DAJ","Direction des Affaires Juridiques","colin","glossbot-betagouv","2016-06-15 17:22:40.451524"
"DAP","Département Architecture et Projets (service de la DINSIC)","jerome","glossbot-betagouv","2016-10-05 08:19:41.730473"
"DcANT","Développement concerté de l'administration numérique territoriale","colin","glossbot-betagouv","2016-10-19 10:01:22.410519"
"DCE","Directive Cadre sur l’Eau du 23 octobre 2000 (directive 2000/60/CE) établissant un cadre pour une politique communautaire dans le domaine de l'eau","sycom","git","2017-05-11 12:45:00.000000"
"DDCS","Direction Départementale de la Cohésion Sociale","mattisg","glossbot-betagouv","2017-02-02 17:00:33.587449"
"DE","Demanderesse ou demandeur d’emploi ; sans emploi​","maukoquiroga","glossbot-betagouv","2016-06-16 10:16:52.319207"
"DELD","Demandeur d’emploi longue durée","maukoquiroga","glossbot-betagouv","2016-06-16 10:24:58.502087"
"DGCL","Direction Générale des Collectivités Locales","colin","glossbot-betagouv","2016-10-19 10:05:24.082085"
"DGCS","Direction générale de la cohésion sociale","maukoquiroga","glossbot-betagouv","2016-06-20 14:24:29.493873"
"DGE","Direction générale des entreprises","maukoquiroga","glossbot-betagouv","2016-06-20 14:20:11.187697"
"DGFIP","Direction Générale des Finances Publiques","thibaut","glossbot-betagouv","2016-08-02 17:07:44.912977"
"DGV","Data.gouv.fr","gnovel","glossbot-betagouv","2017-04-27 13:38:03.778565"
"DIAT","Direction Interministérielle d'Appui à la Transformation - Une des deux divisions du SGMAP depuis septembre 2015.","mattisg","glossbot-betagouv","2016-06-15 17:07:20.560894"
"DIF","Droit individuel à la formation","maukoquiroga","glossbot-betagouv","2016-06-16 10:26:47.04378"
"DINSIC","Direction Interministérielle du Numérique et des Systèmes d'Information et de Communication - Une des deux divisions du SGMAP depuis septembre 2015.","mattisg","glossbot-betagouv","2016-06-15 17:07:24.466063"
"dircab","DIRecteur de CABinet - Voir « cab ».","mattisg","glossbot-betagouv","2016-06-15 17:07:27.657264"
"DISP","Direction Interrégionale des Services Pénitentiaires","mattisg","glossbot-betagouv","2016-06-24 17:13:14.97106"
"DJPEVA","Direction de la Jeunesse, de l'Education Populaire et de la Vie Associative","colin","glossbot-betagouv","2016-09-05 13:42:07.977298"
"DLNUF","Dites-Le-Nous Une Fois","maukoquiroga","glossbot-betagouv","2016-11-16 13:03:39.57041"
"DM","Direct message ou message privé","jerome","glossbot-betagouv","2016-06-20 19:24:23.22916"
"DoD","Definition of Done","nicolas","glossbot-betagouv","2017-04-20 17:22:04.639413"
"DRAAF","Direction Régionale de l'Alimentation, de l'Agriculture et de la Forêt","colin","glossbot-betagouv","2016-10-25 17:01:36.356565"
"DSN","Déclaration Sociale Nominative","vince","glossbot-betagouv","2016-11-18 09:10:30.672816"
"DTA","Directive Territoriale d’Aménagement","sycom","git","2017-05-11 12:45:00.000000"
"ECO-PLS","éco-Prêt Logement Social; permettant de financer la rénovation énergétique de logements sociaux","sycom","git","2017-05-11 12:45:00.000000"
"EDL","Éléments de langage","mattisg","glossbot-betagouv","2017-03-07 16:49:40.148986"
"ELD","Éléments de Langage et de Discours","vince","glossbot-betagouv","2016-07-07 08:37:03.25276"
"ENA","école nationale d’administration - Là où les élites dirigeantes sont formées. :bird:","mattisg","glossbot-betagouv","2016-06-24 17:13:55.822139"
"EPCA","Etablissement Public à Caractère Administratif","vince","glossbot-betagouv","2017-01-12 20:03:46.66628"
"EPCI","Etablissement Public de Coopération Intercommunale","cquest","git","2017-05-23 14:25:00"
"ERP","Enterprise Resource Planning (progiciel de gestion intégré)","gnovel","glossbot-betagouv","2017-04-27 12:29:30.664543"
"ERP","Établissement Recevant du Public","cquest","git","2017-05-23 14:25:00"
"FTW","For the whale!","maukoquiroga","glossbot-betagouv","2016-06-15 19:47:22.316317"
"fu2","Followup-To (https://tools.ietf.org/html/rfc1036#section-2.2.3)","vince","glossbot-betagouv","2017-03-10 08:45:09.525449"
"FUD","Fear, uncertainty and doubt","vince","glossbot-betagouv","2016-07-01 13:11:59.390237"
"GEMAPI","compétence relative à la Gestion des Milieux Aquatiques et de Prévention des Inondations; créée par la loi du 27 janvier 2014 de modernisation de l'action publique et attribuée aux communes et à leurs groupements","sycom","git","2017-05-11 12:45:00.000000"
"GIEE","Groupement d'Intérêt Économique et Environnemental","sycom","git","2017-05-11 12:45:00.000000"
"GPM","Grand Port Maritime","sycom","git","2017-05-11 12:45:00.000000"
"GRH","Gestion des Ressources Humaines","gnovel","glossbot-betagouv","2017-04-27 12:28:31.382082"
"GT","Groupe de Travail","mattisg","glossbot-betagouv","2016-06-15 17:07:30.45608"
"HAROPA","ensemble portuaire de l'axe Seine réunissant les ports du Havre de Rouen et de Paris","sycom","git","2017-05-11 12:45:00.000000"
"ICPE","Installations Classées pour la Protection de l'Environnement","jerome","glossbot-betagouv","2016-09-29 09:20:04.001624"
"IED","directive 2010/75/UE relative aux émissions industrielles; appelée directive IED; définissant au niveau européen une approche intégrée de la prévention et de la réduction des pollutions émises par les installations industrielles et agricoles entrant dans son champ d’application","sycom","git","2017-05-11 12:45:00.000000"
"IJ","Information jeunesse","maukoquiroga","glossbot-betagouv","2016-06-16 10:14:12.672138"
"IMPACT","Innover et moderniser les processus MDPH pour l’accès à la compensation sur les territoires","florian","glossbot-betagouv","2016-06-21 14:30:34.897002"
"KDS","keep-drop-start","maukoquiroga","glossbot-betagouv","2017-01-10 09:09:26.610346"
"LNPN","Ligne Nouvelle Paris-Normandie","sycom","git","2017-05-11 12:45:00.000000"
"LOTI","loi n°82-1153 du 30 décembre 1982 d’Orientation des Transports Intérieurs (LOTI) ; prévoit un bilan socio-économique 3 à 5 ans après la mise en service de grandes infrastructures de transport","sycom","git","2017-05-11 12:45:00.000000"
"MAAF","Ministère de l’Agriculture, de l’Agroalimentaire et de la Forêt","jerome","glossbot-betagouv","2016-06-15 19:18:06.34924"
"MAEDI","Ministère des Affaires étrangères et du Développement International","mattisg","glossbot-betagouv","2016-10-05 08:28:28.229288"
"MAPA","Marché À Procédure Adaptée","hussardnum","glossbot-betagouv","2016-06-15 18:19:16.639487"
"MDPH","Maison Départementale pour les Personnes Handicapées","colin","glossbot-betagouv","2017-01-11 15:03:18.771307"
"MEEM","Ministère de l’Environnement, de l’Énergie et de la Mer","jerome","glossbot-betagouv","2016-06-15 19:17:09.55128"
"MENESR","Ministère de l'Éducation Nationale, de l'Enseignement Supérieur et de la Recherche","colin","glossbot-betagouv","2016-06-28 12:03:53.436832"
"MIN","Marché d’Intérêt National","sycom","git","2017-05-11 12:45:00.000000"
"MIPNES","Mission de la pédagogie et du numérique pour l'enseignement supérieur","nicolas","glossbot-betagouv","2016-07-22 07:58:13.975054"
"ML","Mission Locale ou Mailing List","hela","glossbot-betagouv","2016-09-06 15:54:37.155232"
"MOA","Maîtrise d'ouvrage","maukoquiroga","glossbot-betagouv","2016-07-20 09:53:54.235752"
"NIIOMTPLABOPARMBETZHELBETRABSBOMONIMONKONOTDTEKHSTROMONT","The laboratory for shuttering, reinforcement, concrete and ferroconcrete operations for composite-monolithic and monolithic constructions of the Department of the Technology of Building-assembly operations of the Scientific Research Institute of the Organization for building mechanization and technical aid of the Academy of Building and Architecture of the USSR","maukoquiroga","glossbot-betagouv","2016-06-22 18:05:50.159263"
"OCLCTIC","Office Central de Lutte contre la Criminalité liée aux Technologies de l'Information et de la Communication","cquest","git","2017-05-23 12:25:00"
"OGP","Open Government Parternship - Association internationale de gouvernements engagés dans l'ouverture des données et de la gouvernance.","mattisg","glossbot-betagouv","2016-06-15 17:07:33.708026"
"OPACIF","Organisme paritaire agréé au titre du congé individuel de formation","maukoquiroga","glossbot-betagouv","2016-06-16 10:21:48.210771"
"OPCA","Organismes collecteurs paritaires agréés","maukoquiroga","glossbot-betagouv","2016-06-16 10:24:24.708415"
"PAMM","Plan d’Action pour le Milieu Marin","sycom","git","2017-05-11 12:45:00.000000"
"PE","Pôle emploi","maukoquiroga","glossbot-betagouv","2016-06-16 10:02:13.801076"
"PEPITE","Pôles Etudiants Pour l'Innovation, le Transfert et l'Entrepreneuriat","vince","glossbot-betagouv","2016-07-01 11:11:58.183293"
"PGO","Partenariat pour un Gouvernement Ouvert (OGP en anglais)","colin","glossbot-betagouv","2016-06-15 18:24:25.561624"
"PIA","Programme d'Investissements d'Avenir","gnovel","glossbot-betagouv","2017-05-04 07:35:48.666179"
"PIF","Presidential Innovation Fellows - L’équivalent des Entrepreneurs d’intérêt général aux US, en plus volontariste. Existe depuis 2012. - Voir plus sur https://presidentialinnovationfellows.gov","mattisg","glossbot-betagouv","2016-11-07 16:50:47.193381"
"PIJ","Points d’information jeunesse","maukoquiroga","glossbot-betagouv","2016-06-16 10:12:56.575371"
"PLAGEPOMI","PLAn de GEstion des POissons MIgrateurs","sycom","git","2017-05-11 12:45:00.000000"
"PLH","Programme Local de l’Habitat","sycom","git","2017-05-11 12:45:00.000000"
"PLU","Plan Local d’Urbanisme","sycom","git","2017-05-11 12:45:00.000000"
"PLUi","Plan Local d’Urbanisme Intercommunal","sycom","git","2017-05-11 12:45:00.000000"
"PLUI-H","Plan Local d’Urbanisme intercommunal tenant lieu de programme local de l’habitat","sycom","git","2017-05-11 12:45:00.000000"
"PM","Premier Ministre","mattisg","glossbot-betagouv","2016-06-15 17:07:39.888274"
"pnds","Portail National des Droits sociaux","hela","glossbot-betagouv","2016-07-11 18:11:02.174938"
"PPNG","Plan Préféctures Nouvelle Génération - Grand plan de modernisation amorcé en 2012, qui passe notamment par la dématérialisation des procédures et la fermeture de guichets.","mattisg","glossbot-betagouv","2016-11-22 08:39:24.477936"
"PPP","Préfecture de Police de Paris","mattisg","glossbot-betagouv","2016-08-02 16:42:50.560147"
"PPR","Plan de Prévention des Risques","sycom","git","2017-05-11 12:45:00.000000"
"PPR","Plan de Prévention du Risque d'Inondation","cquest","git","2017-05-23 14:25:00.000000"
"PR","Président de la République","gnovel","glossbot-betagouv","2017-04-19 15:17:15.478571"
"PR","Pull Request","gnovel","glossbot-betagouv","2017-04-19 15:17:15.478572"
"PREPA","Plan national de Réduction des Émissions de Polluants Atmosphériques","sycom","git","2017-05-11 12:45:00.000000"
"PRPGD","Plan Régional de Prévention et Gestion des Déchets","sycom","git","2017-05-11 12:45:00.000000"
"PSLA","Pôle de Santé Libéral et Ambulatoire","sycom","git","2017-05-11 12:45:00.000000"
"RC","Release Candidate","twickham","glossbot-betagouv","2016-08-02 17:06:03.902306"
"RGI","Référentiel Général d'Interopérabilité","cquest","git","2017-05-23 14:25:00"
"RGPP","Révision Générale des Politiques Publiques - Fer de lance de l’ancêtre du SGMAP.","mattisg","glossbot-betagouv","2016-06-24 17:14:40.378297"
"RGS","Référentiel Général de Sécurité","vince","glossbot-betagouv","2016-07-01 11:13:09.749208"
"RIE","Réseau Internet de l'État - Fournisseur d'accès à internet réservé à l'administration, avec infrastructure matérielle en propre (ou mutualisée RENATER). Un des départements de la DINSIC.","mattisg","glossbot-betagouv","2016-06-15 17:07:47.516126"
"ROTI","Return On Time Invested","gnovel","glossbot-betagouv","2017-04-19 15:15:06.14152"
"RP","Relation Presse","jerome","glossbot-betagouv","2016-10-10 08:41:38.852879"
"SCoRAN","Stratégie de Cohérence Régionale d’Aménagement Numérique","sycom","git","2017-05-11 12:45:00.000000"
"SCoT","Schéma de Cohérence Territoriale","sycom","git","2017-05-11 12:45:00.000000"
"SDAASP","Schéma Départemental d’Amélioration de l’Accessibilité des Services au Public","sycom","git","2017-05-11 12:45:00.000000"
"SDAGE","Schéma Directeur d'Aménagement et de Gestion des Eaux","sycom","git","2017-05-11 12:45:00.000000"
"SDTAN","Schéma Directeur Territorial d’Aménagement Numérique","sycom","git","2017-05-11 12:45:00.000000"
"SEVESO","parmi les installations classées pour la protection de l'environnement (ICPE) soumises à autorisation; les établissements; où la quantité de produits dangereux dépasse les seuils fixés dans la directive européenne SEVESO; sont soumis à une réglementation plus stricte et doivent répondre à des exigences particulières","sycom","git","2017-05-11 12:45:00.000000"
"SG","Secrétaire Général·e - Correspondant administratif d'un·e secrétaire d'État (équivalent ministre).","mattisg","glossbot-betagouv","2016-06-15 17:07:50.355916"
"SGMAP","Secrétariat Général pour la Modernisation de l’Action Publique - L’administration qui héberge l’Incubateur de Services Numériques.","mattisg","glossbot-betagouv","2016-06-15 17:08:34.034465"
"SGMCAS","Secrétariat général des ministères chargés des affaires sociales","maukoquiroga","glossbot-betagouv","2016-07-20 10:12:38.12211"
"SIADE","Système Interne d'Api De l'Etat","alexis","glossbot-betagouv","2017-03-02 10:23:56.063972"
"SIDSIC","Service interministériel départemental et systèmes d’information et de communication","florian","glossbot-betagouv","2017-04-20 09:15:46.06101"
"SJW","Social Justice Warrior","maukoquiroga","glossbot-betagouv","2017-02-27 13:26:26.226902"
"SNA","Service national de l’adresse","vince","glossbot-betagouv","2016-08-05 07:28:14.172575"
"SNVVV","Schéma National des Véloroutes et Voies Vertes","sycom","git","2017-05-11 12:45:00.000000"
"SOTM","State Of The Map (Conférence annuelle des contributeurs OpenStreetMap)","vince","glossbot-betagouv","2016-09-15 15:18:24.697152"
"spd","Service Public de la Donnée","thibaut","glossbot-betagouv","2016-06-15 17:41:30.959131"
"SPIP","Service Pénitentiaire d’Insertion et de Probation","mattisg","glossbot-betagouv","2016-06-24 17:14:52.664723"
"SPO","Service public de l’orientation","maukoquiroga","glossbot-betagouv","2016-06-16 10:18:20.513086"
"SPRO","Service public régional de l’orientation","maukoquiroga","glossbot-betagouv","2016-06-16 10:18:48.677551"
"SRADDET","Schéma Régional d’Aménagement de Développement Durable et d’Égalité des Territoires","sycom","git","2017-05-11 12:45:00.000000"
"SRCAE","Schéma Régional du Climat de l’Air et de l’Énergie","sycom","git","2017-05-11 12:45:00.000000"
"SRCE","Schéma Régional de de Cohérence Écologique","sycom","git","2017-05-11 12:45:00.000000"
"SRDAM","Schéma Régional de Développement de l’Aquaculture Marine","sycom","git","2017-05-11 12:45:00.000000"
"SRDE2I","Schéma Régional de Développement Économique d’Innovation et d’Internationalisation","sycom","git","2017-05-11 12:45:00.000000"
"SUIO","Service universitaire d'information et d’orientation ; Service universitaire d'insertion et d'orientation","maukoquiroga","glossbot-betagouv","2016-06-16 10:16:32.144517"
"THD","Très Haut Débit","cquest","git","2017-05-23 14:25:00"
"UGAP","Union des Groupements d'Achats Public","colin","glossbot-betagouv","2016-10-19 10:16:40.505424"
"UNESCO","Organisation des Nations Unies pour l'éducation la science et la culture","sycom","git","2017-05-11 12:45:00.000000"
"wdf","What the (da) fuck","maukoquiroga","glossbot-betagouv","2016-07-13 14:03:05.531564"
"WDYT","What Do You Think ?","thibaut","glossbot-betagouv","2016-07-13 14:02:22.250012"
"WTH","What the heck, what the hell, what the hail, what the hale, what the ham, what the hank, what the hay, what the heo, what hey, what the hip, what the ho, what the hoof, what the hull, etc…","maukoquiroga","glossbot-betagouv","2016-06-20 20:45:09.042229"
